date,country/CHN GrowthRate_Amount_EconomicActivity_GrossDomesticProduction,country/GBR GrowthRate_Amount_EconomicActivity_GrossDomesticProduction,country/IND GrowthRate_Amount_EconomicActivity_GrossDomesticProduction,country/LKA GrowthRate_Amount_EconomicActivity_GrossDomesticProduction,country/SGP GrowthRate_Amount_EconomicActivity_GrossDomesticProduction,country/USA GrowthRate_Amount_EconomicActivity_GrossDomesticProduction
1984,15.1915400236134,2.2691050845774,3.82073785597366,5.09914656058612,8.79238656243029,7.23662000401062
1985,13.4306775204064,4.14741507693289,5.25429922330882,4.99940636915493,-0.622851240306488,4.16965594529771
1986,8.94996176438008,3.15034053587446,4.77656417048958,4.35554691699419,1.34286911059745,3.46265172126709
1987,11.6574277931357,5.39273836588518,3.96535563390586,1.72561069100104,10.7977699059772,3.45957255449522
1988,11.222594982521,5.73241364589943,9.62778291984819,2.4726850377301,11.2637506873617,4.177046383082
1989,4.20633435547815,2.57760269569438,5.94734332826501,2.29930141383987,10.1586103187977,3.67265632838441
1990,3.92025136776569,0.733755502200452,5.53345456306511,6.3999953069393,9.82104913117239,1.88596032430949
1991,9.26278608462174,-1.1031216255778,1.05683143294308,4.59998724452278,6.68850251324366,-0.108259104705525
1992,14.2245295924457,0.401082063847213,5.48239602167047,4.39999125185615,6.63968959044681,3.52244248662824
1993,13.8837293020436,2.48983097485453,4.75077621965234,6.90006325197233,11.4627747394024,2.75284432663625
1994,13.0368066326902,3.84600913053607,6.65892406734025,5.59991872721346,11.0976479377467,4.02883906807251
1995,10.9539543420185,2.53167003665999,7.57449184032379,5.50008523205227,7.20090749007159,2.6842871338757
1996,9.92255675288459,2.49153317975488,7.5495222488198,3.79996720523084,7.47137959039428,3.7725013199817
1997,9.23677989169124,3.85482999120725,4.0498208490926,6.40539969772809,8.31991652701805,4.44721633956435
1998,7.84595178733933,3.64485339579952,6.18441582090618,4.69842304623258,-2.1953778262461,4.48140755308913
1999,7.66165150045002,3.42822332767811,8.84575556105509,4.30054049792376,5.72400842350559,4.75323599078349
2000,8.49009340601468,3.43747162873862,3.84099115681285,6.00003316014399,9.03914675133963,4.12748401141975
2001,8.33573347821324,2.97436365273566,4.82396626390641,-1.54540813414316,-1.06901588508104,0.998340800315447
2002,9.13363078988934,2.3243511221289,3.8039753213758,3.96467568566092,3.91460974541297,1.74169524302894
2003,10.0380304808371,3.28637759033414,7.86038147553259,5.94026907760478,4.53577965386324,2.86121077200275
2004,10.1136213778964,2.37395142770163,7.92293661286503,5.4450612778997,9.81959167704964,3.79889112264793
2005,11.3945918098662,3.17972889318253,7.92343062149763,6.24174804465225,7.35903367713455,3.51321379594287
2006,12.7209556651723,2.78832456587739,8.06073257303272,7.66829190011271,9.0051437297946,2.85497229827358
2007,14.2308609332879,2.43055320120308,7.66081506504928,6.79682611895814,9.0221330140233,1.87617145523009
2008,9.65067891934387,-0.281153555903288,3.08669805953289,5.95008814507847,1.86824553416074,-0.136579804247219
2009,9.39872563258297,-4.24782176303837,7.86188883303498,3.53891205299132,0.12098274173087,-2.53675706962862
2010,10.6358710645426,1.94952146428622,8.49758470158106,8.01596737088062,14.5256389940627,2.56376656343198
2011,9.55083217886425,1.54014740315958,5.2413447428854,8.40473302101104,6.33787081384082,1.55083550424324
2012,7.86373644864966,1.4789239242734,5.45635895072287,9.14457224642567,4.46160895101333,2.24954585097743
2013,7.76615009763002,2.1394857181109,6.38610640094825,3.39573264983426,4.83729864576097,1.84208107011949
2014,7.42576365632598,2.60747590068877,7.41022760508854,4.96070059169729,3.93800272866056,2.52597345040711
2015,7.04132887877194,2.35552430595799,7.99625344413879,5.00768330472783,2.98852067557714,2.90802186128343
2016,6.84876220493844,1.91815513204681,8.2563058441893,4.48663453096836,3.24347416813696,1.63783845703892
2017,6.94720079330668,1.89207700716807,7.04382085537057,3.5781696792194,4.33660491918172,2.36980078440416
2018,6.74977383254181,1.34072060244353,6.11958684136602,3.3064174132235,3.43811104161446,2.92732573232968
2019,6.11011828768078,1.46265820190786,4.18072762475113,2.28346530118198,0.733309934559728,2.16117628829923
